App Name,Category,URL
HBO,Premium Channels,https://www.hbo.com
HBO,Premium Channels,https://www.hbo.com/signup/planform
HBO,Premium Channels,https://www.hbo.com/pricing
HBO,Premium Channels,https://www.hbo.com/us/plans
HBO,Premium Channels,https://www.hbo.com/signup/basic
HBO,Premium Channels,https://www.hbo.com/pricing/basic
HBO,Premium Channels,https://www.hbo.com/signup/standard
HBO,Premium Channels,https://www.hbo.com/pricing/standard
HBO,Premium Channels,https://www.hbo.com/signup/premium
HBO,Premium Channels,https://www.hbo.com/pricing/premium
HBO,Premium Channels,https://www.hbo.com/tmobile
HBO,Premium Channels,https://www.hbo.com/verizon
HBO,Premium Channels,https://www.hbo.com/atandt
HBO,Premium Channels,https://www.hbo.com/free-trial
HBO,Premium Channels,https://www.hbo.com/signup/trial
HBO,Premium Channels,https://www.hbo.com/redeem
HBO,Premium Channels,https://www.hbo.com/gift-cards
HBO,Premium Channels,https://www.hbo.com/promotions
HBO,Premium Channels,https://www.hbo.com/us
HBO,Premium Channels,https://www.hbo.com/in
HBO,Premium Channels,https://www.hbo.com/uk
HBO,Premium Channels,https://www.hbo.com/ca
HBO,Premium Channels,https://www.hbo.com/au
Showtime,Premium Channels,https://www.showtime.com
Showtime,Premium Channels,https://www.showtime.com/signup/planform
Showtime,Premium Channels,https://www.showtime.com/pricing
Showtime,Premium Channels,https://www.showtime.com/us/plans
Showtime,Premium Channels,https://www.showtime.com/signup/basic
Showtime,Premium Channels,https://www.showtime.com/pricing/basic
Showtime,Premium Channels,https://www.showtime.com/signup/standard
Showtime,Premium Channels,https://www.showtime.com/pricing/standard
Showtime,Premium Channels,https://www.showtime.com/signup/premium
Showtime,Premium Channels,https://www.showtime.com/pricing/premium
Showtime,Premium Channels,https://www.showtime.com/tmobile
Showtime,Premium Channels,https://www.showtime.com/verizon
Showtime,Premium Channels,https://www.showtime.com/atandt
Showtime,Premium Channels,https://www.showtime.com/free-trial
Showtime,Premium Channels,https://www.showtime.com/signup/trial
Showtime,Premium Channels,https://www.showtime.com/redeem
Showtime,Premium Channels,https://www.showtime.com/gift-cards
Showtime,Premium Channels,https://www.showtime.com/promotions
Showtime,Premium Channels,https://www.showtime.com/us
Showtime,Premium Channels,https://www.showtime.com/in
Showtime,Premium Channels,https://www.showtime.com/uk
Showtime,Premium Channels,https://www.showtime.com/ca
Showtime,Premium Channels,https://www.showtime.com/au
Starz,Premium Channels,https://www.starz.com
Starz,Premium Channels,https://www.starz.com/signup/planform
