Subscriber_ID,App Name,Category_x,Days_Watched,ZIP_Code,Verizon_Service,Customer_Type,Perks,URL
28f5f216-5f21-4b49-b336-bfd5ab50144f,NBC Sports,TV & Movies,1,75243,Verizon Plus Play,Bad,No Perks,https://www.nbcsports.com/signup/planform
668ac7c6-a7c3-4c3a-87e6-95b7b41e7956,National Geographic,Sports,7,75001,Verizon Plus Play,Bad,No Perks,https://www.nationalgeographic.com/pricing/standard
c3e78332-6d27-41e4-b043-5ed8c1aed29f,Starz,TV & Movies,14,75229,Verizon Plus Play,Good,Bundle 4: Ultimate Movie Buff\nHBO Max: Premium Plan\nShowtime: Standard Plan\nStarz: Premium Plan\nPrice: $32.99/month\nFeatures:\nAccess to a vast library of movies.\nExclusive film premieres.,https://www.starzplay.com/us/plans
c1f69e80-3903-45c1-b464-2b054510bb09,AMC,Sports,20,75247,Verizon Plus Play,Good,Free month of STARZ,https://www.amc.com/signup/standard
1a1da9db-8ba4-496a-bafd-e41b3a38c837,Hulu,TV & Movies,28,75240,Verizon Plus Play,Good,Standard Perks,https://www.hulu.com/redeem
937d87d8-7371-451b-92a3-ed90e14efff1,Comedy Central,TV & Movies,15,75248,Verizon Plus Play,Good,"Bundle 7: Comedy Central\nComedy Central: Premium Plan\nNetflix: Standard Plan\nHBO Max: Standard Plan\nPrice: $29.99/month\nFeatures:\nBest of stand-up, sitcoms, and comedy movies.\nAd-free streaming on premium content.",https://www.comedycentral.com/tmobile
e9082a5d-f273-4ca3-9474-ba6c2d1807d4,Cinemax,TV & Movies,13,75001,Verizon Plus Play,Good,Standard Perks,https://www.cinemax.com/signup/premium
5d85a5c5-d548-484d-956b-7a6ad812e50f,ESPN,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.espnplus.com/signup/planform
5d85a5c5-d548-484d-956b-7a6ad812e50f,FX,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.fxnetworks.com/atandt
5d85a5c5-d548-484d-956b-7a6ad812e50f,AMC,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.amc.com/promotions
5d85a5c5-d548-484d-956b-7a6ad812e50f,AMC,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.amc.com/tmobile
5d85a5c5-d548-484d-956b-7a6ad812e50f,Starz,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.starz.com/gift-cards
5d85a5c5-d548-484d-956b-7a6ad812e50f,Showtime,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.showtime.com/atandt
5d85a5c5-d548-484d-956b-7a6ad812e50f,NBC Sports,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.nbcsports.com/atandt
5d85a5c5-d548-484d-956b-7a6ad812e50f,AMC,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.amc.com/us/plans
5d85a5c5-d548-484d-956b-7a6ad812e50f,Food Network,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.foodnetwork.com/in
5d85a5c5-d548-484d-956b-7a6ad812e50f,HBO,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.hbomax.com/pricing/standard
5d85a5c5-d548-484d-956b-7a6ad812e50f,Cinemax,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.cinemax.com/pricing/premium
5d85a5c5-d548-484d-956b-7a6ad812e50f,Starz,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.starzplay.com/ca
5d85a5c5-d548-484d-956b-7a6ad812e50f,MTV,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month,https://www.mtv.com/gift-cards
